array_size;threads;scheduler;chunk_size;time
2000000;5;dynamic;100;0.003922777017578
2000000;5;dynamic;10000;0.002815242041834
2000000;5;dynamic;200000;0.002782462048344
2000000000;5;dynamic;1;94.592655885964632
2000000000;5;dynamic;100;3.011029121931642
2000000000;5;dynamic;10000;2.640405523939990
2000000000;5;dynamic;200000;2.186679890961386
2000000000;5;dynamic;200000000;2.025792719097808
2000000;6;dynamic;1;0.094328999985009
2000000;6;dynamic;100;0.003696966101415
2000000;6;dynamic;10000;0.002592148957774
2000000;6;dynamic;200000;0.002718299976550
2000000000;6;dynamic;1;91.498416115064174
2000000000;6;dynamic;100;2.670312928035855
2000000000;6;dynamic;10000;2.380170537042432
2000000000;6;dynamic;200000;1.856191861093976
2000000000;6;dynamic;200000000;2.023690594010986
2000000;7;dynamic;1;0.100168913020752
2000000;7;dynamic;100;0.003824262996204
2000000;7;dynamic;10000;0.002404217026196
2000000;7;dynamic;200000;0.002475961926393
2000000000;7;dynamic;1;99.583091064007021
2000000000;7;dynamic;100;2.452676683082245
2000000000;7;dynamic;10000;2.233474220964126
2000000000;7;dynamic;200000;1.588186325039715
2000000000;7;dynamic;200000000;2.027805852936581
2000000;8;dynamic;1;0.092578543000855
2000000;8;dynamic;100;0.003921339986846
2000000;8;dynamic;10000;0.002286382019520
2000000;8;dynamic;200000;0.002437367918901
